id,code,icao,name,latitude,longitude,elevation,url,time_zone,city_code,country,city,state,county,type
18766,YFG,CTU2,Fontanges Airport,54.5546983,-71.16879815979456,1550,,America/Montreal,YFG,CA,Fontanges,,,AP
18767,YFH,CYFH,Fort Hope Airport,51.5615715,-87.90900401255813,899,,America/Toronto,YFH,CA,Fort Hope,,,AP
18768,YFI,CYFI,Fort Mackay / Firebag,57.26543025,-110.9750717809142,1762,,America/Edmonton,HZP,CA,Suncor Energy Site,,,AP
18769,YFJ,CYWE,WekweÃ¨tÃ¬ Airport,64.1930455,-114.076634,1208,,America/Yellowknife,YFJ,CA,WekweÃ¨tÃ¬,,,AP
18770,YFL,CJN8,Fort Reliance Seaplane Base,62.7,-109.13333,514,,America/Yellowknife,YFL,CA,,,,AP
18771,YFO,CYFO,Flin Flon Airport,54.67692025,-101.6775972374846,997,,America/Winnipeg,YFO,CA,Flin Flon,,,AP
18772,YFR,CYFR,Fort Resolution Airport,61.1808014,-113.690002,526,,America/Yellowknife,YFR,CA,Fort Resolution,,,AP
18773,YFS,CYFS,Fort Simpson Airport,61.7609797,-121.23533019323654,555,,America/Yellowknife,YFS,CA,Fort Simpson,,,AP
18774,YFX,CCK4,St. Lewis (Fox Harbour) Airport,52.36667,-55.683334,74,,America/St_Johns,YFX,CA,St. Lewis,,,AP
18775,YGA,CTU4,Yongchuan Da'an General Airport,51.95,-68.13333,700,,America/Montreal,YGA,CA,Chongqing,,,AP
18776,YGB,CYGB,Texada Gillies Bay Airport,49.6909262,-124.5066531,326,,America/Vancouver,YGB,CA,Texada,,,AP
18777,YGC,CEQ5,Grande Cache,53.91684925,-118.87270502477494,4117,,America/Edmonton,YGC,CA,Grande Cache,Alberta,,AP
18778,YGE,,Gorge Harbour Seaplane Base,50.083332,-124.95,"0",,America/Vancouver,YGE,CA,,,,AP
18779,YGG,CAX6,Ganges Seaplane Base,48.85,-123.5,"0",,America/Vancouver,YGG,CA,North Cowichan,British Columbia,,AP
18780,YGH,CYGH,Fort Good Hope Airport,66.2424039,-128.64740819217258,268,,America/Yellowknife,YGH,CA,Fort Good Hope,,,AP
18781,YGJ,RJOH,Yonago Kitaro Airport / JASDF Miho Air Base,35.4933476,133.2428347112177,20,,Asia/Tokyo,YGJ,JP,Yonago,Shimane,,AP
18782,YGK,CYGK,Kingston Norman Rogers Airport,44.22465785,-76.59772452101123,305,http://www.cityofkingston.ca/residents/transportation/airport/index.asp,America/Toronto,YGK,CA,Kingston,,,AP
18783,YGL,CYGL,La Grande RiviÃ¨re Airport,53.629723,-77.70639,639,,America/Montreal,YGL,CA,La Grande RiviÃ¨re,,,AP
18784,YGM,CYGM,Gimli Industrial Park Airport,50.666668,"-97.0",753,,America/Winnipeg,YGM,CA,Gimli,,,AP
18785,YGN,CYGN,Greenway Sound Seaplane Base,50.85,-126.85,"0",,America/Vancouver,YGN,CA,,,,AP
18786,YGO,CYGO,Gods Lake Narrows Airport,54.5588933,-94.4913969,617,,America/Winnipeg,YGO,CA,Gods Lake Narrows,,,AP
